timestamp,keypresses,mousemoves,leftclicks,rightclicks,middleclicks
1769527846,0,0.00,0,0,0
1769528146,640,4.15,30,1,0
1769528446,98,6.92,37,0,0
1769528746,0,0.44,14,0,0
1769529046,30,13.06,47,0,0
1769529346,7,8.27,32,0,0
1769529646,34,15.24,41,0,0
1769529946,20,26.09,65,1,0
1769530246,228,22.43,79,1,0
1769530546,51,13.73,39,0,0
1769530846,185,12.91,60,0,0
1769531146,337,11.94,27,0,0
1769531446,267,20.45,61,0,0
1769531746,439,16.57,45,0,0
1769532046,51,19.71,62,0,0
1769532346,1,7.51,20,0,0
1769532646,3,19.28,34,0,0
1769532946,0,10.35,29,0,0
1769533246,1,8.39,23,0,0
1769533546,22,12.18,30,0,0
1769533846,261,13.34,42,0,0
1769534146,312,9.37,19,0,0
1769534446,169,9.72,31,0,0
1769534746,12,0.90,5,0,0
1769535046,0,0.00,0,0,0
1769535346,4,5.43,14,0,0
1769535646,186,8.79,25,0,0
1769535946,256,6.51,20,0,0
1769536246,0,1.96,4,0,0
1769536546,0,0.00,0,0,0
1769536846,0,0.00,0,0,0
1769537146,11,11.00,41,0,0
1769537446,84,14.04,65,0,0
1769537746,118,12.73,51,0,0
1769538046,1,5.67,18,0,0
1769538346,101,8.80,31,0,0
1769538646,187,6.46,19,0,0
1769538946,1,2.91,9,0,0
1769539246,123,3.82,13,0,0
1769539546,33,15.37,65,2,0
1769539846,0,11.23,36,0,0
1769540146,214,15.34,42,0,0
1769540446,0,4.53,11,0,0
1769540746,0,9.07,33,0,0
1769541046,16,5.96,19,1,0
1769541346,0,4.52,12,0,0
1769541646,105,12.02,58,0,0
1769541946,7,10.22,29,0,0
1769542246,63,14.74,55,0,0
1769542547,0,5.88,17,0,0
1769542847,3,17.87,51,0,0
1769543147,80,18.80,67,2,0
1769543747,28,15.71,63,0,0
1769544047,858,12.41,54,0,0
1769544438,785,2.14,8,0,0
1769545487,308,9.72,51,0,0
1769545787,304,7.72,68,0,0
1769546087,148,4.41,79,0,0
1769546387,171,0.00,109,0,0
1769546687,9,0.80,94,0,0
1769546987,111,1.44,92,0,0
1769547287,244,0.81,55,0,0
1769547587,39,0.00,28,0,0
1769547887,262,6.58,126,0,0
1769548187,216,10.07,132,0,0
1769548487,208,10.17,62,0,0
1769548787,107,5.85,94,0,0
1769549087,3,6.08,64,0,0
1769549387,1,7.43,62,0,0
1769549687,461,6.90,43,0,0
1769549987,0,2.19,25,0,0
1769550287,0,1.33,11,0,0
1769550587,3,3.32,20,0,0
1769550887,9,0.33,6,0,0
1769551187,0,0.00,0,0,0
1769551487,0,2.52,50,0,0
1769551787,0,0.20,6,0,0
1769465498,0,0.00,0,0,0
1769465798,0,0.00,0,0,0
1769466098,0,0.00,0,0,0
1769466398,0,0.00,0,0,0
1769466699,0,0.00,0,0,0
1769466999,0,0.00,0,0,0
1769467299,0,0.00,0,0,0
1769467599,0,0.00,0,0,0
1769467899,0,0.00,0,0,0
1769468199,0,0.00,0,0,0
1769468499,0,0.00,0,0,0
1769468799,0,0.00,0,0,0
1769469099,0,0.00,0,0,0
1769469399,0,0.00,0,0,0
1769469699,0,0.00,0,0,0
1769469999,0,0.00,0,0,0
1769470299,0,0.00,0,0,0
1769470599,0,0.00,0,0,0
1769470899,0,0.00,0,0,0
1769471199,0,0.00,0,0,0
1769471499,0,0.00,0,0,0
1769471799,0,0.00,0,0,0
1769472099,0,0.00,0,0,0
1769472399,0,0.00,0,0,0
1769472699,0,0.00,0,0,0
1769472999,0,0.00,0,0,0
1769473299,0,0.00,0,0,0
1769480709,2,0.25,2,0,0
1769484622,0,0.00,0,0,0
1769484922,0,0.00,0,0,0
1769485222,0,0.00,0,0,0
1769485522,0,0.00,0,0,0
1769485822,0,0.00,0,0,0
1769486122,0,0.00,0,0,0
1769486422,0,0.00,0,0,0
1769486722,0,0.00,0,0,0
1769487022,0,0.00,0,0,0
1769487322,0,0.00,0,0,0
1769487622,0,0.00,0,0,0
1769487922,0,0.00,0,0,0
1769500204,0,0.00,0,0,0
1769506698,0,0.00,0,0,0
1769511121,0,0.00,0,0,0
1769515232,0,0.00,0,0,0
1769519729,0,0.00,0,0,0
1769520046,404,6.43,46,1,0
1769520346,318,2.11,68,0,0
1769520646,57,0.00,38,0,0
1769520946,23,0.40,67,1,0
1769521246,249,0.00,24,0,0
1769521546,294,0.00,5,0,0
1769521846,1,0.00,14,0,0
1769522146,155,1.94,108,1,0
1769522446,28,0.00,38,0,0
1769522746,2,0.00,23,0,0
1769523046,53,0.00,37,1,0
1769523346,123,0.76,61,0,0
1769523646,241,0.74,24,0,0
1769523946,73,0.00,17,0,0
1769524246,0,0.00,0,0,0
1769524546,140,0.00,24,1,0
1769524846,240,0.00,57,0,0
1769525146,166,0.00,46,1,0
1769525446,0,0.00,0,0,0
1769525746,32,2.76,54,1,0
1769526046,8,0.73,19,0,0
1769526346,15,0.00,15,0,0
1769526646,27,1.41,92,2,0
1769526946,179,0.00,28,2,0
1769527246,186,5.41,54,3,0
1769527546,93,2.32,43,0,0
cumulative,12145,660.02,4083,22,0
